Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.84, 0.07, 12.5, 80, 80, 0
Numerical Parameters: NX, NY, ts, delta = 241, 241, 0.5, 0.0001 
File written: Tue Sep 26 23:51:22 2023
Comments: 2D 





Ascii values of u and v follow
0.000306112 0.191365
0.00028523 0.196091
0.000284123 0.195111
0.000300054 0.188515
0.000335882 0.177287
0.000402155 0.162809
0.000526908 0.146438
0.000781023 0.129347
0.00133868 0.112499
0.00261658 0.0966371
0.00558605 0.0822662
0.0124495 0.0696475
0.0280145 0.0588252
0.0620804 0.0496838
0.131853 0.0420261
0.257921 0.0356342
0.4407 0.0321274
0.63229 0.0606462
0.776714 0.138419
0.865161 0.24147
0.914572 0.345243
0.940918 0.438784
0.953362 0.519397
0.955737 0.587442
0.948414 0.644026
0.929655 0.690028
0.897 0.725576
0.84916 0.749895
0.788027 0.761915
0.719445 0.761732
0.651709 0.751874
0.592757 0.737077
0.548212 0.722672
0.521157 0.712982
0.512903 0.710614
0.523784 0.716437
0.55342 0.729619
0.600341 0.747465
0.661084 0.765409
0.729452 0.777848
0.797049 0.779956
0.855703 0.769305
0.900327 0.745862
0.929932 0.710524
0.946334 0.663708
0.952016 0.604894
0.948405 0.53286
0.934619 0.446284
0.906089 0.344922
0.8525 0.232537
0.756421 0.123221
0.601473 0.0462224
0.403997 0.023816
0.227127 0.0282689
0.111956 0.034605
0.0509642 0.0423376
0.0221879 0.0513884
0.00944607 0.0614128
0.00405759 0.0712574
0.00196747 0.0788142
0.00150197 0.0822599
0.00225964 0.081038
0.00481631 0.0754637
0.0111007 0.066821
0.0255848 0.057197
0.0575445 0.0481451
0.123592 0.0402196
0.244639 0.0335006
0.424142 0.0290527
0.617873 0.0533704
0.767327 0.127384
0.859901 0.228765
0.911695 0.331999
0.939004 0.42526
0.951153 0.505528
0.951621 0.573095
0.939742 0.628952
0.911877 0.673493
0.86287 0.705476
0.788813 0.721384
0.690994 0.716579
0.578177 0.68912
0.463796 0.643699
0.359821 0.591064
0.272931 0.542562
0.204924 0.502123
0.154484 0.468913
0.118612 0.442172
0.0940225 0.42131
0.0779191 0.40589
0.0682668 0.395616
0.0637923 0.390316
0.0639118 0.389945
0.0686844 0.394582
0.0788298 0.404427
0.0958104 0.419827
0.12194 0.441293
